Region,State,District,Year,Quarter,Registered_user,Latitude,Longitude
Southern Region,Andhra Pradesh,Prakasam,2019,Q2,539462,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2019,Q3,1460464,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2019,Q3,1066546,16.21399145,81.02572814
Southern Region,Andhra Pradesh,East Godavari,2019,Q3,1057167,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Chittoor,2019,Q3,1032733,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2019,Q3,1026418,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Anantapur,2019,Q3,773656,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2019,Q3,755024,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2019,Q3,662102,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2019,Q3,619592,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2019,Q3,598568,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2019,Q4,1620235,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2019,Q4,1199971,16.21399145,81.02572814
Southern Region,Andhra Pradesh,East Godavari,2019,Q4,1195228,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Guntur,2019,Q4,1158708,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2019,Q4,1156351,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2019,Q4,873033,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2019,Q4,846885,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2019,Q4,750078,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2019,Q4,697154,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2019,Q4,673522,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2020,Q1,1763581,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2020,Q1,1331602,16.21399145,81.02572814
Southern Region,Andhra Pradesh,East Godavari,2020,Q1,1329664,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Guntur,2020,Q1,1289678,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2020,Q1,1270907,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2020,Q1,971850,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2020,Q1,936293,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2020,Q1,843835,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2020,Q1,775440,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2020,Q1,748655,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2020,Q2,1904719,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2020,Q2,1459116,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2020,Q2,1459041,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2020,Q2,1426271,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2020,Q2,1385916,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2020,Q2,1076953,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2020,Q2,1035093,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2020,Q2,944829,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2020,Q2,854459,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2020,Q2,830709,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2020,Q3,2058346,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2020,Q3,1601940,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2020,Q3,1599289,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2020,Q3,1567595,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2020,Q3,1506503,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2020,Q3,1186851,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2020,Q3,1132240,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2020,Q3,1053674,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2020,Q3,937176,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2020,Q3,915240,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2020,Q4,2209658,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2020,Q4,1746280,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2020,Q4,1744028,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2020,Q4,1712940,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2020,Q4,1631331,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2020,Q4,1295872,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2020,Q4,1230466,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2020,Q4,1163179,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2020,Q4,1022944,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2020,Q4,999462,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2021,Q1,2368081,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2021,Q1,1878769,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2021,Q1,1876458,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2021,Q1,1843237,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2021,Q1,1751420,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2021,Q1,1394849,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2021,Q1,1323411,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2021,Q1,1254117,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2021,Q1,1100541,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2021,Q1,1075936,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2021,Q2,2526830,17.7231276,83.3012842
Southern Region,Andhra Pradesh,East Godavari,2021,Q2,2006272,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2021,Q2,2002662,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2021,Q2,1968681,16.2915189,80.4541588
Southern Region,Andhra Pradesh,Chittoor,2021,Q2,1870723,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Anantapur,2021,Q2,1492738,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2021,Q2,1415585,15.8309251,78.0425373
Southern Region,Andhra Pradesh,West Godavari,2021,Q2,1339377,16.63713765,81.58909666
Southern Region,Andhra Pradesh,Nellore,2021,Q2,1176334,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2021,Q2,1151232,15.6589741,79.47164373
Southern Region,Andhra Pradesh,Visakhapatnam,2021,Q3,2707931,17.7231276,83.3012842
