Region,State,District,Latitude,Longitude
Eastern Region,Odisha,Kendujhar,21.5892323,85.66878413736906
Eastern Region,Odisha,Bhadrak,21.0633288,86.5053731
Eastern Region,Odisha,Anugul,20.8411255,85.08040066385269
Eastern Region,Odisha,Mayurbhanj,21.75,86.5
Southern Region,Puducherry,Puducherry,11.9340568,79.8306447
Southern Region,Puducherry,Karaikal,10.91571,79.8375761
Southern Region,Puducherry,Yanam,16.7333666,82.2145164
Southern Region,Puducherry,Mahe,11.7021978,75.5364701
Northern Region,Punjab,Ludhiana,30.9090157,75.851601
Northern Region,Punjab,Sas Nagar,30.6904366,76.7116208
Northern Region,Punjab,Patiala,30.2090874,76.3398720856221
Northern Region,Punjab,Amritsar,31.6343083,74.8736788
Northern Region,Punjab,Jalandhar,31.29201065,75.56805772253911
Northern Region,Punjab,Bathinda,30.17911535,75.04710156312628
Northern Region,Punjab,Fazilka,30.4032097,74.0310609
Northern Region,Punjab,Sangrur,30.135825699999998,75.8535154380713
Northern Region,Punjab,Hoshiarpur,31.60857425,75.84644246890946
Northern Region,Punjab,Gurdaspur,32.166667,75.316667
Western Region,Rajasthan,Jaipur,26.9154576,75.8189817
Western Region,Rajasthan,Alwar,27.5,76.5
Western Region,Rajasthan,Jodhpur,26.2967719,73.0351433
Western Region,Rajasthan,Kota,25.1737019,75.8574194
Western Region,Rajasthan,Sikar,27.66241555,75.02799709983499
Western Region,Rajasthan,Ajmer,26.4691,74.639
Western Region,Rajasthan,Udaipur,24.578721,73.6862571
Western Region,Rajasthan,Bhilwara,25.5,74.75
Western Region,Rajasthan,Nagaur,27.0237969,74.2037201
Western Region,Rajasthan,Jhunjhunu,28.1287995,75.3992581
Southern Region,Tamil Nadu,Chennai,13.0836939,80.270186
Southern Region,Tamil Nadu,Thiruvallur,13.13014755,79.92435386254968
Southern Region,Tamil Nadu,Chengalpattu,12.6840886,79.9836371
Southern Region,Tamil Nadu,Coimbatore,11.0018115,76.9628425
Southern Region,Tamil Nadu,Kancheepuram,12.87960515,79.70427615297989
Southern Region,Tamil Nadu,Salem,11.6549142,78.1584923
Southern Region,Tamil Nadu,Tiruppur,11.1017815,77.345192
Southern Region,Tamil Nadu,Madurai,9.9261153,78.1140983
Southern Region,Tamil Nadu,Krishnagiri,12.5188835,78.2206536
Southern Region,Tamil Nadu,Tiruchirappalli,10.804973,78.6870296
Southern Region,Telangana,Hyderabad,17.360589,78.4740613
Southern Region,Telangana,Rangareddy,17.133395399999998,78.3970978701631
Southern Region,Telangana,Medchal Malkajgiri,17.53498345,78.52463873502381
Southern Region,Telangana,Sangareddy,17.86859205,77.8228199507381
Southern Region,Telangana,Warangal Urban,18.00441,79.56838
Southern Region,Telangana,Karimnagar,18.4348122,79.1328042
Southern Region,Telangana,Khammam,17.5,80.333333
Southern Region,Telangana,Nalgonda,16.8579636,79.21749353315548
Southern Region,Telangana,Nizamabad,18.75,78.25
Southern Region,Telangana,Peddapalle,16.1722391,77.760645
Southern Region,Telangana,Siddipet,18.005585099999998,78.89611304969961
Southern Region,Telangana,Bhadradri Kothagudem,17.71534525,80.57149761778712
North-Eastern Region,Tripura,West Tripura,23.916667,91.5
North-Eastern Region,Tripura,South Tripura,23.5,91.666667
North-Eastern Region,Tripura,Sepahijala,23.53074455,91.30156539030573
North-Eastern Region,Tripura,Gomati,23.4613369,91.60718003817723
North-Eastern Region,Tripura,North Tripura,24.092147599999997,92.24512135019847
North-Eastern Region,Tripura,Dhalai,23.8253158,91.9732226716333
North-Eastern Region,Tripura,Khowai,24.04673835,91.62320953646798
North-Eastern Region,Tripura,Unakoti,24.3167458,92.06650224339185
Central Region,Uttar Pradesh,Gautam Buddha Nagar,28.36759325,77.59744768658177
Central Region,Uttar Pradesh,Lucknow,26.8381,80.9346001
Central Region,Uttar Pradesh,Ghaziabad,28.6711527,77.4120356
Central Region,Uttar Pradesh,Prayagraj,25.4381302,81.8338005
Central Region,Uttar Pradesh,Kanpur Nagar,26.4402119,80.26930513416637
Central Region,Uttar Pradesh,Varanasi,25.3356491,83.0076292
Central Region,Uttar Pradesh,Agra,27.1752554,78.0098161
Central Region,Uttar Pradesh,Gorakhpur,26.6711433,83.36457243864551
Central Region,Uttar Pradesh,Meerut,29.000652549999998,77.76822875372174
Central Region,Uttar Pradesh,Bareilly,28.416667,79.383333
Northern Region,Uttarakhand,Dehradun,30.3255646,78.0436813
Northern Region,Uttarakhand,Haridwar,29.9384473,78.1452985
Northern Region,Uttarakhand,Udham Singh Nagar,29.048098799999998,79.4313133223357
Northern Region,Uttarakhand,Nainital,29.29478295,79.41548093726253
Northern Region,Uttarakhand,Pauri Garhwal,29.84591115,78.70766746320547
Northern Region,Uttarakhand,Tehri Garhwal,30.5,78.666667
Northern Region,Uttarakhand,Almora,29.703094999999998,79.43317023326716
Northern Region,Uttarakhand,Pithoragarh,29.585871,80.215167
Northern Region,Uttarakhand,Chamoli,30.5,79.5
Northern Region,Uttarakhand,Uttarkashi,30.7291049,78.4403495
Eastern Region,West Bengal,North 24 Parganas,22.692681450000002,88.66111746099942
Eastern Region,West Bengal,Kolkata,22.5726459,88.3638953
Eastern Region,West Bengal,Murshidabad,24.1745993,88.2721335
Eastern Region,West Bengal,Hooghly,22.910891749999998,88.01063387899092
Eastern Region,West Bengal,South 24 Parganas,22.1815262,88.54843766912074
Eastern Region,West Bengal,Paschim Bardhaman,23.64260775,87.16444149728576
Eastern Region,West Bengal,Howrah,22.5736296,88.3251045
Eastern Region,West Bengal,Nadia,23.4836184,88.55570832329447
Eastern Region,West Bengal,Purba Medinipur,22.06217445,87.83672383486115
Eastern Region,West Bengal,Paschim Medinipur,22.3599134,87.41331447600871
Eastern Region,West Bengal,Purba Bardhaman,23.391717,87.90621212355462
