Region,State,District,Year,Quarter,Total_transaction_count,Total_transaction_amount,Latitude,Longitude
Southern Region,Andhra Pradesh,Anantapur,2019,Q2,3578836,7830782361.3776655,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Nellore,2019,Q2,3141891,6880873007.4820595,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2019,Q2,2670529,6262396448.455348,15.6589741,79.47164373
Southern Region,Andhra Pradesh,YSR Kadapa,2019,Q2,2606284,6376856828.130632,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Visakhapatnam,2019,Q3,16694947,26944837120.046288,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2019,Q3,8408474,16404073560.500784,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2019,Q3,8201783,13837455758.755266,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2019,Q3,6942304,13075661264.188034,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2019,Q3,6537303,11387726470.57774,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Kurnool,2019,Q3,5139134,9025632779.412457,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Anantapur,2019,Q3,4889720,9554081289.488277,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Nellore,2019,Q3,4150195,8256600118.735449,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2019,Q3,3430750,7354502261.150911,15.6589741,79.47164373
Southern Region,Andhra Pradesh,YSR Kadapa,2019,Q3,3296586,7447544274.2117815,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Visakhapatnam,2019,Q4,23594874,39133296330.04462,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Krishna,2019,Q4,11719402,23039786404.046635,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Chittoor,2019,Q4,11246986,19298476027.875484,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Guntur,2019,Q4,9761330,18565626418.035915,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2019,Q4,9285739,16816774065.301317,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Kurnool,2019,Q4,7001958,13233105728.54823,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Anantapur,2019,Q4,6764112,13887248889.064064,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Nellore,2019,Q4,5877804,11786014089.194025,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2019,Q4,4865473,10604077824.801035,15.6589741,79.47164373
Southern Region,Andhra Pradesh,YSR Kadapa,2019,Q4,4793157,10865073855.730782,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Visakhapatnam,2020,Q1,27115031,48809747614.678894,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Chittoor,2020,Q1,13257740,23441848567.344193,13.1601048,79.15555062
Southern Region,Andhra Pradesh,Krishna,2020,Q1,12175289,24481702770.714714,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2020,Q1,11493331,22992734620.64621,16.2915189,80.4541588
Southern Region,Andhra Pradesh,East Godavari,2020,Q1,11346242,21854701379.428688,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Anantapur,2020,Q1,8466129,17864325752.82528,14.6546235,77.55625984
Southern Region,Andhra Pradesh,Kurnool,2020,Q1,8246869,17022710311.813044,15.8309251,78.0425373
Southern Region,Andhra Pradesh,Nellore,2020,Q1,7430247,15387829694.446861,14.4493717,79.9873763
Southern Region,Andhra Pradesh,Prakasam,2020,Q1,6318396,14169104764.526735,15.6589741,79.47164373
Southern Region,Andhra Pradesh,YSR Kadapa,2020,Q1,6031255,14059924636.819914,14.6919995,78.65883805
Southern Region,Andhra Pradesh,Visakhapatnam,2020,Q2,25300401,48293889917.41437,17.7231276,83.3012842
Southern Region,Andhra Pradesh,Chittoor,2020,Q2,14848197,27361300300.01902,13.1601048,79.15555062
Southern Region,Andhra Pradesh,East Godavari,2020,Q2,13130334,26319906327.32029,16.99842865,81.71561488
Southern Region,Andhra Pradesh,Krishna,2020,Q2,12313709,26964149095.36629,16.21399145,81.02572814
Southern Region,Andhra Pradesh,Guntur,2020,Q2,12308707,27463593607.83911,16.2915189,80.4541588
