Region,State,Pincode,Year,Quarter,Registered_user
Southern Region,Andaman and Nicobar Islands,744104,2021,Q3,2777
Southern Region,Andaman and Nicobar Islands,744112,2021,Q3,2250
Southern Region,Andaman and Nicobar Islands,744211,2021,Q3,2055
Southern Region,Andaman and Nicobar Islands,744205,2021,Q3,1771
Southern Region,Andaman and Nicobar Islands,744103,2021,Q4,14127
Southern Region,Andaman and Nicobar Islands,744105,2021,Q4,12300
Southern Region,Andaman and Nicobar Islands,744101,2021,Q4,11623
Southern Region,Andaman and Nicobar Islands,744102,2021,Q4,7813
Southern Region,Andaman and Nicobar Islands,744202,2021,Q4,3815
Southern Region,Andaman and Nicobar Islands,744107,2021,Q4,3247
Southern Region,Andaman and Nicobar Islands,744104,2021,Q4,2962
Southern Region,Andaman and Nicobar Islands,744112,2021,Q4,2411
Southern Region,Andaman and Nicobar Islands,744211,2021,Q4,2200
Southern Region,Andaman and Nicobar Islands,744205,2021,Q4,1902
Southern Region,Andaman and Nicobar Islands,744103,2022,Q1,15011
Southern Region,Andaman and Nicobar Islands,744105,2022,Q1,13070
Southern Region,Andaman and Nicobar Islands,744101,2022,Q1,12300
Southern Region,Andaman and Nicobar Islands,744102,2022,Q1,8271
Southern Region,Andaman and Nicobar Islands,744202,2022,Q1,4107
Southern Region,Andaman and Nicobar Islands,744107,2022,Q1,3455
Southern Region,Andaman and Nicobar Islands,744104,2022,Q1,3146
Southern Region,Andaman and Nicobar Islands,744112,2022,Q1,2552
Southern Region,Andaman and Nicobar Islands,744211,2022,Q1,2344
Southern Region,Andaman and Nicobar Islands,744205,2022,Q1,2034
Southern Region,Andaman and Nicobar Islands,744103,2022,Q2,15799
Southern Region,Andaman and Nicobar Islands,744105,2022,Q2,13791
Southern Region,Andaman and Nicobar Islands,744101,2022,Q2,12947
Southern Region,Andaman and Nicobar Islands,744102,2022,Q2,8709
Southern Region,Andaman and Nicobar Islands,744202,2022,Q2,4361
Southern Region,Andaman and Nicobar Islands,744107,2022,Q2,3674
Southern Region,Andaman and Nicobar Islands,744104,2022,Q2,3319
Southern Region,Andaman and Nicobar Islands,744112,2022,Q2,2700
Southern Region,Andaman and Nicobar Islands,744211,2022,Q2,2471
Southern Region,Andaman and Nicobar Islands,744205,2022,Q2,2162
Southern Region,Andaman and Nicobar Islands,744103,2022,Q3,16666
Southern Region,Andaman and Nicobar Islands,744105,2022,Q3,14503
Southern Region,Andaman and Nicobar Islands,744101,2022,Q3,13649
Southern Region,Andaman and Nicobar Islands,744102,2022,Q3,9148
Southern Region,Andaman and Nicobar Islands,744202,2022,Q3,4572
Southern Region,Andaman and Nicobar Islands,744107,2022,Q3,3868
Southern Region,Andaman and Nicobar Islands,744104,2022,Q3,3493
Southern Region,Andaman and Nicobar Islands,744112,2022,Q3,2837
Southern Region,Andaman and Nicobar Islands,744211,2022,Q3,2577
Southern Region,Andaman and Nicobar Islands,744205,2022,Q3,2268
Southern Region,Andaman and Nicobar Islands,744103,2022,Q4,17406
Southern Region,Andaman and Nicobar Islands,744105,2022,Q4,15185
Southern Region,Andaman and Nicobar Islands,744101,2022,Q4,14337
Southern Region,Andaman and Nicobar Islands,744102,2022,Q4,9591
Southern Region,Andaman and Nicobar Islands,744202,2022,Q4,4760
Southern Region,Andaman and Nicobar Islands,744107,2022,Q4,4051
Southern Region,Andaman and Nicobar Islands,744104,2022,Q4,3647
Southern Region,Andaman and Nicobar Islands,744112,2022,Q4,2975
Southern Region,Andaman and Nicobar Islands,744211,2022,Q4,2679
Southern Region,Andaman and Nicobar Islands,744205,2022,Q4,2358
Southern Region,Andhra Pradesh,517501,2018,Q1,39884
Southern Region,Andhra Pradesh,530016,2018,Q1,34201
Southern Region,Andhra Pradesh,517507,2018,Q1,34111
Southern Region,Andhra Pradesh,515001,2018,Q1,31964
Southern Region,Andhra Pradesh,516001,2018,Q1,29078
Southern Region,Andhra Pradesh,518002,2018,Q1,29043
Southern Region,Andhra Pradesh,530026,2018,Q1,26889
Southern Region,Andhra Pradesh,516360,2018,Q1,26187
Southern Region,Andhra Pradesh,520010,2018,Q1,24397
Southern Region,Andhra Pradesh,524002,2018,Q1,23439
Southern Region,Andhra Pradesh,517501,2018,Q2,53468
Southern Region,Andhra Pradesh,517507,2018,Q2,45241
Southern Region,Andhra Pradesh,530016,2018,Q2,43386
Southern Region,Andhra Pradesh,515001,2018,Q2,42466
Southern Region,Andhra Pradesh,516001,2018,Q2,38402
Southern Region,Andhra Pradesh,518002,2018,Q2,37593
Southern Region,Andhra Pradesh,516360,2018,Q2,34544
Southern Region,Andhra Pradesh,530026,2018,Q2,34126
Southern Region,Andhra Pradesh,520010,2018,Q2,31871
Southern Region,Andhra Pradesh,524002,2018,Q2,31134
Southern Region,Andhra Pradesh,517501,2018,Q3,65157
Southern Region,Andhra Pradesh,517507,2018,Q3,54849
Southern Region,Andhra Pradesh,530016,2018,Q3,52259
Southern Region,Andhra Pradesh,515001,2018,Q3,51449
Southern Region,Andhra Pradesh,516001,2018,Q3,46691
Southern Region,Andhra Pradesh,518002,2018,Q3,45145
Southern Region,Andhra Pradesh,516360,2018,Q3,41963
Southern Region,Andhra Pradesh,530026,2018,Q3,40580
Southern Region,Andhra Pradesh,520010,2018,Q3,38918
Southern Region,Andhra Pradesh,524002,2018,Q3,37559
Southern Region,Andhra Pradesh,517501,2018,Q4,82873
Southern Region,Andhra Pradesh,517507,2018,Q4,70421
Southern Region,Andhra Pradesh,530016,2018,Q4,65549
Southern Region,Andhra Pradesh,515001,2018,Q4,63576
Southern Region,Andhra Pradesh,516001,2018,Q4,58028
Southern Region,Andhra Pradesh,518002,2018,Q4,55735
Southern Region,Andhra Pradesh,516360,2018,Q4,52058
Southern Region,Andhra Pradesh,530026,2018,Q4,51900
Southern Region,Andhra Pradesh,520010,2018,Q4,48991
Southern Region,Andhra Pradesh,524002,2018,Q4,46616
Southern Region,Andhra Pradesh,517501,2019,Q1,100561
Southern Region,Andhra Pradesh,517507,2019,Q1,85980
Southern Region,Andhra Pradesh,530016,2019,Q1,77790
Southern Region,Andhra Pradesh,515001,2019,Q1,75171
Southern Region,Andhra Pradesh,516001,2019,Q1,68514
Southern Region,Andhra Pradesh,518002,2019,Q1,66689
Southern Region,Andhra Pradesh,530026,2019,Q1,61623
Southern Region,Andhra Pradesh,516360,2019,Q1,60798
Southern Region,Andhra Pradesh,520010,2019,Q1,59055
Southern Region,Andhra Pradesh,524002,2019,Q1,55931
Southern Region,Andhra Pradesh,517501,2019,Q2,113033
Southern Region,Andhra Pradesh,517507,2019,Q2,97534
Southern Region,Andhra Pradesh,530016,2019,Q2,87556
Southern Region,Andhra Pradesh,515001,2019,Q2,84157
Southern Region,Andhra Pradesh,516001,2019,Q2,76617
Southern Region,Andhra Pradesh,518002,2019,Q2,75952
Southern Region,Andhra Pradesh,530026,2019,Q2,68283
Southern Region,Andhra Pradesh,516360,2019,Q2,66885
Southern Region,Andhra Pradesh,520010,2019,Q2,66082
Southern Region,Andhra Pradesh,524002,2019,Q2,62933
Southern Region,Andhra Pradesh,517501,2019,Q3,124727
Southern Region,Andhra Pradesh,517507,2019,Q3,108199
Southern Region,Andhra Pradesh,530016,2019,Q3,97323
Southern Region,Andhra Pradesh,515001,2019,Q3,93191
Southern Region,Andhra Pradesh,518002,2019,Q3,84918
Southern Region,Andhra Pradesh,516001,2019,Q3,84693
Southern Region,Andhra Pradesh,530026,2019,Q3,74501
Southern Region,Andhra Pradesh,516360,2019,Q3,73267
Southern Region,Andhra Pradesh,520010,2019,Q3,72722
Southern Region,Andhra Pradesh,524002,2019,Q3,69783
Southern Region,Andhra Pradesh,517501,2019,Q4,136436
Southern Region,Andhra Pradesh,517507,2019,Q4,119146
Southern Region,Andhra Pradesh,530016,2019,Q4,106404
Southern Region,Andhra Pradesh,515001,2019,Q4,102848
Southern Region,Andhra Pradesh,516001,2019,Q4,94209
Southern Region,Andhra Pradesh,518002,2019,Q4,94193
Southern Region,Andhra Pradesh,516360,2019,Q4,81619
Southern Region,Andhra Pradesh,530026,2019,Q4,81191
Southern Region,Andhra Pradesh,520010,2019,Q4,79453
Southern Region,Andhra Pradesh,524002,2019,Q4,77681
Southern Region,Andhra Pradesh,517501,2020,Q1,146823
Southern Region,Andhra Pradesh,517507,2020,Q1,129214
Southern Region,Andhra Pradesh,530016,2020,Q1,114042
Southern Region,Andhra Pradesh,515001,2020,Q1,111359
Southern Region,Andhra Pradesh,518002,2020,Q1,102905
Southern Region,Andhra Pradesh,516001,2020,Q1,102893
Southern Region,Andhra Pradesh,516360,2020,Q1,89774
Southern Region,Andhra Pradesh,530026,2020,Q1,87449
Southern Region,Andhra Pradesh,524002,2020,Q1,85878
Southern Region,Andhra Pradesh,520010,2020,Q1,85779
Southern Region,Andhra Pradesh,517501,2020,Q2,156221
Southern Region,Andhra Pradesh,517507,2020,Q2,138735
Southern Region,Andhra Pradesh,530016,2020,Q2,120621
Southern Region,Andhra Pradesh,515001,2020,Q2,119223
Southern Region,Andhra Pradesh,518002,2020,Q2,112673
Southern Region,Andhra Pradesh,516001,2020,Q2,111898
Southern Region,Andhra Pradesh,516360,2020,Q2,98803
Southern Region,Andhra Pradesh,524002,2020,Q2,93834
Southern Region,Andhra Pradesh,530026,2020,Q2,93224
Southern Region,Andhra Pradesh,520010,2020,Q2,91299
Southern Region,Andhra Pradesh,517501,2020,Q3,166768
Southern Region,Andhra Pradesh,517507,2020,Q3,149001
Southern Region,Andhra Pradesh,515001,2020,Q3,128227
Southern Region,Andhra Pradesh,530016,2020,Q3,128059
Southern Region,Andhra Pradesh,518002,2020,Q3,121529
Southern Region,Andhra Pradesh,516001,2020,Q3,120997
Southern Region,Andhra Pradesh,516360,2020,Q3,108073
Southern Region,Andhra Pradesh,524002,2020,Q3,102103
Southern Region,Andhra Pradesh,530026,2020,Q3,99754
Southern Region,Andhra Pradesh,520010,2020,Q3,97752
Southern Region,Andhra Pradesh,517501,2020,Q4,178328
Southern Region,Andhra Pradesh,517507,2020,Q4,160062
Southern Region,Andhra Pradesh,515001,2020,Q4,137945
Southern Region,Andhra Pradesh,530016,2020,Q4,136049
Southern Region,Andhra Pradesh,518002,2020,Q4,130871
Southern Region,Andhra Pradesh,516001,2020,Q4,130500
Southern Region,Andhra Pradesh,516360,2020,Q4,117397
Southern Region,Andhra Pradesh,524002,2020,Q4,110746
Southern Region,Andhra Pradesh,530026,2020,Q4,106320
Southern Region,Andhra Pradesh,520010,2020,Q4,104956
Southern Region,Andhra Pradesh,517501,2021,Q1,190712
Southern Region,Andhra Pradesh,517507,2021,Q1,171417
Southern Region,Andhra Pradesh,515001,2021,Q1,147941
Southern Region,Andhra Pradesh,530016,2021,Q1,145206
Southern Region,Andhra Pradesh,518002,2021,Q1,140153
