Region,State,Pincode,Year,Quarter,Total_transaction_count,Total_transaction_amount
Southern Region,Andaman and Nicobar Islands,744107,2021,Q2,14524,24690581.539094776
Southern Region,Andaman and Nicobar Islands,744104,2021,Q2,11278,28333852.06159348
Southern Region,Andaman and Nicobar Islands,744211,2021,Q2,10182,20377949.346094526
Southern Region,Andaman and Nicobar Islands,744112,2021,Q2,9635,21637658.167199604
Southern Region,Andaman and Nicobar Islands,744301,2021,Q2,8463,27666837.39688266
Southern Region,Andaman and Nicobar Islands,744101,2021,Q3,116324,388328168.7639693
Southern Region,Andaman and Nicobar Islands,744103,2021,Q3,84790,246433385.80990067
Southern Region,Andaman and Nicobar Islands,744105,2021,Q3,67257,185238368.4767078
Southern Region,Andaman and Nicobar Islands,744102,2021,Q3,43850,131239564.16909727
Southern Region,Andaman and Nicobar Islands,744202,2021,Q3,19088,48475163.574293144
Southern Region,Andaman and Nicobar Islands,744107,2021,Q3,16203,37962312.09641009
Southern Region,Andaman and Nicobar Islands,744104,2021,Q3,14657,35301326.114471875
Southern Region,Andaman and Nicobar Islands,744112,2021,Q3,11565,28491553.61094001
Southern Region,Andaman and Nicobar Islands,744301,2021,Q3,11553,43464511.051198
Southern Region,Andaman and Nicobar Islands,744211,2021,Q3,9655,19497765.257140517
Southern Region,Andaman and Nicobar Islands,744101,2021,Q4,165719,533026207.9731797
Southern Region,Andaman and Nicobar Islands,744103,2021,Q4,121613,372243734.27985656
Southern Region,Andaman and Nicobar Islands,744105,2021,Q4,95028,281223411.7435058
Southern Region,Andaman and Nicobar Islands,744102,2021,Q4,58258,174623253.47653326
Southern Region,Andaman and Nicobar Islands,744211,2021,Q4,27938,94222862.10725296
Southern Region,Andaman and Nicobar Islands,744104,2021,Q4,25662,69245386.0816525
Southern Region,Andaman and Nicobar Islands,744202,2021,Q4,21913,67790798.04849821
Southern Region,Andaman and Nicobar Islands,744107,2021,Q4,21397,52036029.9980372
Southern Region,Andaman and Nicobar Islands,744112,2021,Q4,18915,55448543.43365714
Southern Region,Andaman and Nicobar Islands,744301,2021,Q4,14553,47792330.70050094
Southern Region,Andaman and Nicobar Islands,744101,2022,Q1,209941,615978080.6944855
Southern Region,Andaman and Nicobar Islands,744103,2022,Q1,157230,399715980.1391735
Southern Region,Andaman and Nicobar Islands,744105,2022,Q1,122716,321850608.7396423
Southern Region,Andaman and Nicobar Islands,744102,2022,Q1,74883,193336549.94178736
Southern Region,Andaman and Nicobar Islands,744104,2022,Q1,32471,72915521.83614868
Southern Region,Andaman and Nicobar Islands,744211,2022,Q1,30272,86955570.58655271
Southern Region,Andaman and Nicobar Islands,744107,2022,Q1,25379,58776727.62636636
Southern Region,Andaman and Nicobar Islands,744202,2022,Q1,24022,68519268.77643085
Southern Region,Andaman and Nicobar Islands,744112,2022,Q1,23471,55469783.6622991
Southern Region,Andaman and Nicobar Islands,744301,2022,Q1,17630,56879992.28461884
Southern Region,Andaman and Nicobar Islands,744101,2022,Q2,252722,702122365.3629664
